                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.92443,                0.71516,                 1.2142,                0.77009,                0.61608,                0.63192,                0.35254,                 1.3831,                 1.5809,                 1.5695,             0.00082925,             0.00082925,             0.00082925
                     36,                0.74471,                0.63103,                0.97073,                0.62158,                0.62698,                0.56525,                0.35883,                 1.3328,                 1.5275,                 1.4359,             0.00081688,             0.00081688,             0.00081688
                     37,                0.68744,                0.59191,                0.92726,                0.62158,                0.62698,                0.56525,                0.35883,                 1.3328,                 1.5275,                 1.4359,              0.0008045,              0.0008045,              0.0008045
                     38,                0.70082,                0.60313,                 1.0076,                0.79179,                0.50669,                0.56521,                0.36415,                 1.4558,                 1.4945,                 1.4859,             0.00079213,             0.00079213,             0.00079213
                     39,                0.81546,                0.68696,                0.97389,                0.85397,                0.56404,                0.56658,                0.34614,                 1.4252,                   1.53,                 1.4577,             0.00077975,             0.00077975,             0.00077975
                     40,                0.64804,                  0.525,                0.90938,                0.79563,                0.56746,                0.58332,                 0.3472,                 1.4048,                 1.6341,                 1.4642,             0.00076738,             0.00076738,             0.00076738
                     41,                0.62623,                0.58557,                0.95527,                0.79563,                0.56746,                0.58332,                 0.3472,                 1.4048,                 1.6341,                 1.4642,               0.000755,               0.000755,               0.000755
                     42,                0.66023,                0.54727,                0.96734,                0.60774,                0.62302,                0.47947,                0.30718,                  1.401,                 1.7464,                 1.4632,             0.00074263,             0.00074263,             0.00074263
                     43,                 0.7541,                0.88856,                 1.0991,                0.55666,                0.61185,                0.49109,                0.33351,                 1.3924,                 1.7368,                 1.4983,             0.00073025,             0.00073025,             0.00073025
                     44,                 0.7096,                0.59484,                0.98445,                0.83364,                 0.5107,                0.50708,                0.31897,                 1.5039,                  1.656,                 1.5263,             0.00071788,             0.00071788,             0.00071788
                     45,                0.69106,                0.52163,                0.91978,                0.83364,                 0.5107,                0.50708,                0.31897,                 1.5039,                  1.656,                 1.5263,              0.0007055,              0.0007055,              0.0007055
                     46,                 0.7154,                0.58457,                 0.9893,                0.76447,                0.51587,                0.48259,                0.29136,                 1.5185,                 1.6856,                 1.5942,             0.00069313,             0.00069313,             0.00069313
                     47,                0.69922,                0.55262,                0.94595,                0.79335,                0.38095,                0.44933,                0.27037,                 1.5178,                  1.816,                 1.5852,             0.00068075,             0.00068075,             0.00068075
                     48,                0.65259,                0.55768,                0.95331,                0.79741,                0.38095,                0.50535,                0.28541,                   1.46,                 1.7331,                 1.5249,             0.00066838,             0.00066838,             0.00066838
                     49,                0.65221,                0.57538,                 0.9339,                0.79741,                0.38095,                0.50535,                0.28541,                   1.46,                 1.7331,                 1.5249,               0.000656,               0.000656,               0.000656
                     50,                0.75961,                0.62104,                 1.0316,                0.86983,                0.42489,                0.54088,                0.33173,                 1.3463,                 1.7155,                 1.4455,             0.00064362,             0.00064362,             0.00064362
                     51,                0.73073,                0.61866,                 1.0112,                0.87533,                0.42199,                0.53585,                0.29074,                 1.3484,                 1.6058,                  1.497,             0.00063125,             0.00063125,             0.00063125
                     52,                0.74112,                0.60553,                0.95081,                0.85207,                0.37302,                0.41905,                0.27078,                 1.3005,                 1.5554,                 1.5468,             0.00061887,             0.00061887,             0.00061887
                     53,                0.65004,                0.51706,                0.97895,                0.85207,                0.37302,                0.41905,                0.27078,                 1.3005,                 1.5554,                 1.5468,              0.0006065,              0.0006065,              0.0006065
                     54,                0.61222,                0.48393,                0.92196,                0.49834,                0.52586,                0.46034,                0.27275,                 1.3041,                 1.6889,                 1.5656,             0.00059413,             0.00059413,             0.00059413
                     55,                0.53249,                0.48433,                0.90374,                0.51436,                0.49251,                0.47568,                0.27103,                 1.3312,                 1.6462,                  1.542,             0.00058175,             0.00058175,             0.00058175
                     56,                0.58352,                0.53166,                0.96716,                 0.4956,                0.40256,                0.45157,                0.27796,                 1.3177,                 1.6103,                 1.4608,             0.00056938,             0.00056938,             0.00056938
                     57,                0.54585,                0.52364,                 0.9058,                 0.4956,                0.40256,                0.45157,                0.27796,                 1.3177,                 1.6103,                 1.4608,               0.000557,               0.000557,               0.000557
                     58,                0.55973,                0.53582,                0.91463,                0.45222,                 0.5119,                0.45633,                0.28433,                   1.32,                 1.5947,                 1.4489,             0.00054463,             0.00054463,             0.00054463
                     59,                0.58262,                0.43411,                0.90186,                0.64297,                0.50436,                0.47633,                0.29695,                 1.2959,                 1.5265,                 1.4217,             0.00053225,             0.00053225,             0.00053225
                     60,                0.79705,                 0.7188,                 1.1346,                0.62535,                 0.5095,                 0.5142,                0.31707,                 1.2556,                  1.497,                 1.4071,             0.00051988,             0.00051988,             0.00051988
                     61,                0.66278,                0.56154,                0.93789,                0.62535,                 0.5095,                 0.5142,                0.31707,                 1.2556,                  1.497,                 1.4071,              0.0005075,              0.0005075,              0.0005075
                     62,                0.62846,                0.50375,                0.93232,                 0.6071,                0.51653,                0.52434,                0.32727,                  1.221,                  1.443,                 1.3623,             0.00049513,             0.00049513,             0.00049513
                     63,                0.64593,                0.48419,                0.92925,                0.63107,                 0.5119,                0.51897,                0.32703,                 1.1828,                 1.3829,                 1.3679,             0.00048275,             0.00048275,             0.00048275
                     64,                0.50877,                0.39502,                0.92427,                 0.5691,                0.59524,                0.52817,                0.34734,                 1.2078,                 1.3761,                 1.3882,             0.00047038,             0.00047038,             0.00047038
                     65,                0.56947,                0.44645,                0.91026,                 0.5691,                0.59524,                0.52817,                0.34734,                 1.2078,                 1.3761,                 1.3882,               0.000458,               0.000458,               0.000458
                     66,                0.51499,                0.41265,                0.87324,                0.62636,                0.61905,                0.60287,                0.35624,                 1.2487,                 1.3986,                 1.4097,             0.00044563,             0.00044563,             0.00044563
                     67,                0.58903,                0.44676,                0.96221,                 0.8649,                0.60976,                 0.6379,                0.38949,                 1.2564,                 1.4017,                 1.4069,             0.00043325,             0.00043325,             0.00043325
                     68,                0.58117,                 0.4227,                0.89757,                 0.6976,                0.56345,                0.63189,                0.38667,                 1.2435,                 1.3983,                 1.3808,             0.00042087,             0.00042087,             0.00042087
                     69,                0.59124,                0.50444,                0.98253,                 0.6976,                0.56345,                0.63189,                0.38667,                 1.2435,                 1.3983,                 1.3808,              0.0004085,              0.0004085,              0.0004085
                     70,                0.57718,                0.52594,                0.96129,                0.77289,                0.59395,                0.63017,                0.38413,                 1.2404,                 1.3735,                 1.3776,             0.00039613,             0.00039613,             0.00039613
                     71,                 0.5129,                0.44092,                0.91402,                0.77687,                0.69258,                0.69728,                0.42713,                 1.2538,                 1.3528,                 1.3938,             0.00038375,             0.00038375,             0.00038375
                     72,                0.61625,                0.47573,                0.97009,                0.88948,                0.69811,                0.72848,                0.41471,                 1.2829,                 1.3004,                 1.4089,             0.00037138,             0.00037138,             0.00037138
                     73,                0.60035,                0.45287,                 0.9692,                0.88948,                0.69811,                0.72848,                0.41471,                 1.2829,                 1.3004,                 1.4089,               0.000359,               0.000359,               0.000359
                     74,                0.56312,                0.43974,                0.85636,                0.70058,                0.75757,                0.70704,                0.41462,                 1.2818,                 1.2773,                 1.4279,             0.00034663,             0.00034663,             0.00034663
                     75,                0.56914,                0.46745,                0.93753,                0.69832,                0.71562,                0.72292,                0.41954,                 1.2926,                  1.207,                 1.4562,             0.00033425,             0.00033425,             0.00033425
